time,ax,ay,az,gx,gy,gz
210974,0.56,-0.71,0.11,72.11,40.76,110.71
210986,0.79,-0.59,0.05,95.34,46.06,131.81
210998,1.08,-0.37,-0.0,106.5,76.91,153.33
211010,1.26,-0.21,-0.02,108.08,127.77,175.83
211022,0.9,-0.2,0.15,104.67,148.44,195.89
211034,0.72,-0.51,0.38,116.07,124.29,212.11
211046,1.44,-0.52,0.72,175.52,91.91,176.99
211058,2.58,0.38,1.26,219.06,96.67,114.0
211070,3.19,0.95,1.06,207.17,128.07,73.7
211082,2.92,1.16,0.79,178.39,156.61,84.73
211241,0.03,0.44,0.18,63.88,36.37,57.66
211253,0.04,0.46,-0.0,45.58,50.63,49.43
211265,-0.07,0.37,-0.15,28.39,64.9,45.28
211277,-0.15,0.31,-0.21,16.32,71.67,42.23
211301,-0.14,0.3,-0.15,17.35,66.67,29.85
211313,-0.05,0.33,-0.09,24.91,53.87,24.55
211325,0.01,0.36,-0.01,30.77,46.06,22.66
211337,0.05,0.46,0.05,30.58,40.21,21.13
211349,0.05,0.61,0.09,18.27,30.39,21.2
211361,0.61,0.6,0.52,9.73,9.29,14.06
211373,1.28,0.51,1.07,33.75,-27.23,-26.49
211385,1.58,0.55,1.17,68.39,-78.51,-53.62
211397,1.89,0.76,1.13,102.23,-97.84,-37.4
211409,2.09,1.0,1.14,95.83,-71.62,-9.23
211421,1.96,1.0,1.29,70.34,-42.96,16.74
211433,1.72,0.75,1.34,56.25,-27.6,36.32
211445,1.34,0.55,1.3,42.41,-20.95,66.93
211457,1.05,0.24,1.0,54.3,-31.01,65.83
211469,1.06,0.04,0.82,53.39,-33.57,77.54
211481,1.05,-0.07,0.82,51.8,-10.83,77.29
211493,0.86,-0.2,0.76,51.19,15.69,80.04
211505,0.64,-0.32,0.69,67.53,18.32,78.21
211517,0.53,-0.28,0.54,79.85,16.06,81.2
211674,1.45,0.31,0.81,148.57,115.57,82.54
211686,1.85,0.6,1.2,147.53,124.29,74.55
211698,2.15,0.78,1.39,135.89,138.5,68.15
211710,2.1,0.77,1.45,126.99,136.12,66.01
211734,1.92,0.85,1.34,106.74,76.55,74.61
211746,1.78,0.83,1.23,94.0,55.63,79.12
211758,1.53,0.77,1.12,80.89,44.78,80.77
211770,1.21,0.68,0.94,64.67,38.44,85.22
211782,0.9,0.55,0.71,51.74,32.58,89.43
211794,0.64,0.44,0.49,41.44,29.35,92.96
211806,0.41,0.39,0.34,32.6,29.35,94.18
211818,0.23,0.35,0.27,25.83,31.3,92.05
211830,0.12,0.35,0.17,21.44,36.97,84.91
211842,0.01,0.35,0.09,18.33,48.38,75.1
211854,-0.06,0.41,0.02,14.0,63.62,62.66
211866,-0.07,0.44,-0.05,8.45,78.74,47.9
211878,-0.16,0.46,-0.04,5.95,82.16,29.85
211890,-0.26,0.56,-0.06,8.14,69.29,6.81
